stationid,time,weekday,PM25,PM10,O3,NO2,CO,SO2,temperature,pressure,humidity,winddirection,windspeed
aotizhongxin_aq,18,2,75.0,118.0,65.0,83.0,0.5,16.0,18.0,1009.8298750000001,32.75,160.005,5.0025
aotizhongxin_aq,19,2,83.0,135.0,35.0,107.0,0.6,16.0,18.0,1009.616925,34.0,148.1825,3.8125000000000004
aotizhongxin_aq,20,2,83.0,142.0,3.0,134.0,0.6,9.0,18.0,1009.6548750000001,36.0,119.0575,3.0250000000000004
aotizhongxin_aq,21,2,69.0,126.0,2.0,137.0,0.7,6.0,18.8,1009.6592,36.5,99.42750000000001,2.925
aotizhongxin_aq,22,2,78.0,128.0,2.0,137.0,1.0,5.0,16.75,1009.74265,36.0,106.6925,3.1475
aotizhongxin_aq,23,2,86.0,124.0,2.0,115.0,1.2,6.0,18.25,1009.922325,34.0,98.1,3.6175
aotizhongxin_aq,0,3,,,,,,,22.04,1010.062409375,31.25,107.4775,3.6575
aotizhongxin_aq,1,3,,,,,,,23.235,1009.9495753827977,28.25,121.75,3.7225
aotizhongxin_aq,2,3,,,,,,,24.225,1009.6072114610377,25.5,143.0475,4.0575
aotizhongxin_aq,3,3,,,,,,,25.015,1009.004403125,23.25,163.0725,5.115
aotizhongxin_aq,4,3,,,,,,,25.51,1008.1439839951926,21.75,176.055,6.8175
aotizhongxin_aq,5,3,,,,,,,26.0,1007.1637801129901,20.75,183.1,8.712499999999999
aotizhongxin_aq,6,3,,,,,,,25.9,1006.235365625,20.25,186.5825,10.3675
aotizhongxin_aq,7,3,,,,,,,25.8,1005.4984787984747,20.0,187.885,11.4675
aotizhongxin_aq,8,3,,,,,,,25.7,1004.9655143833,20.0,187.86,11.8775
aotizhongxin_aq,9,3,,,,,,,25.6,1004.61703125,20.0,186.8525,11.5425
aotizhongxin_aq,10,3,,,,,,,24.4,1004.4449365747951,20.25,185.0425,10.45
aotizhongxin_aq,11,3,,,,,,,23.2,1004.4865307566,21.25,183.44,8.7625
aotizhongxin_aq,12,3,,,,,,,22.0,1004.7904625,22.5,184.6125,6.645
aotizhongxin_aq,13,3,,,,,,,21.2,1005.35187328197,24.25,196.485,4.415
aotizhongxin_aq,14,3,,,,,,,20.0,1005.9518756690101,25.75,237.12750000000003,3.16
aotizhongxin_aq,15,3,,,,,,,19.2,1006.318075,27.75,271.26,3.4025
aotizhongxin_aq,16,3,,,,,,,18.6,1006.2605001584351,29.75,284.685,3.555
aotizhongxin_aq,17,3,,,,,,,18.2,1005.9188742062524,31.5,291.5850000000001,3.0775
aotizhongxin_aq,18,3,,,,,,,18.1,1005.51534375,33.5,214.825,2.0675
aotizhongxin_aq,19,3,,,,,,,18.0,1005.2315685611377,34.75,139.1775,1.4975
aotizhongxin_aq,20,3,,,,,,,18.6,1005.0872610707927,35.75,109.6925,2.48
aotizhongxin_aq,21,3,,,,,,,19.2,1005.061646875,36.0,97.02,4.1825
aotizhongxin_aq,22,3,,,,,,,20.01,1005.1281360136752,36.0,86.905,5.6325
aotizhongxin_aq,23,3,,,,,,,21.4075,1005.2368763022424,35.75,82.2975,6.505
aotizhongxin_aq,0,4,,,,,,,22.175,1005.3322,35.0,89.4675,6.32
aotizhongxin_aq,1,4,,,,,,,22.9075,1005.3596924767501,33.5,118.605,5.8275
aotizhongxin_aq,2,4,,,,,,,23.5125,1005.26995154431,32.75,153.68249999999995,7.5825
aotizhongxin_aq,3,4,,,,,,,23.89,1005.014828125,32.25,170.6375,10.89
aotizhongxin_aq,4,4,,,,,,,24.0,1004.5697470885823,33.0,175.8175,13.56
aotizhongxin_aq,5,4,,,,,,,24.0,1004.00442909459,34.25,176.53750000000005,15.13
aotizhongxin_aq,6,4,,,,,,,24.0,1003.41216875,36.25,175.3125,15.745
aotizhongxin_aq,7,4,,,,,,,24.0,1002.876709099475,38.5,173.1325,15.65
aotizhongxin_aq,8,4,,,,,,,24.0,1002.4435869384424,40.5,170.4575,15.1825
