stationid,time,temperature,pressure,humidity,winddirection,windspeed,PM25,PM10,NO2,CO,O3,SO2
dongsi_aq,2018-05-09 18:00:00,18.0,1012.409,32.0,155.37,6.362500000000001,73.0,133.0,75.0,0.6,43.0,17.0
dongsi_aq,2018-05-09 19:00:00,18.0,1012.3129999999999,34.0,147.8025,5.215,75.0,132.0,73.0,0.6,41.0,11.0
dongsi_aq,2018-05-09 20:00:00,18.0,1012.2275750000001,36.0,123.64500000000001,4.2475000000000005,76.0,132.0,77.0,0.6,55.0,8.0
dongsi_aq,2018-05-09 21:00:00,18.8,1012.2962500000001,36.5,112.37750000000001,3.9325,83.0,126.0,89.0,0.8,35.0,8.0
dongsi_aq,2018-05-09 22:00:00,16.25,1012.3213000000001,36.0,117.1025,4.0649999999999995,75.0,95.0,125.0,0.9,5.0,7.0
dongsi_aq,2018-05-09 23:00:00,17.5,1012.7068,33.75,115.1125,4.085,69.0,121.0,133.0,1.1,3.0,7.0
tiantan_aq,2018-05-09 18:00:00,17.75,1012.85555,33.25,183.9975,8.475,61.0,150.0,82.0,0.7,20.0,2.0
tiantan_aq,2018-05-09 19:00:00,17.75,1012.6804999999999,35.75,179.66,7.112500000000001,60.0,110.0,74.0,0.7,26.0,2.0
tiantan_aq,2018-05-09 20:00:00,17.75,1012.607425,37.5,167.16250000000002,5.612500000000001,68.0,117.0,82.0,0.8,13.0,2.0
tiantan_aq,2018-05-09 21:00:00,18.349999999999998,1012.627125,38.5,161.08499999999998,4.6325,73.0,119.0,84.0,0.8,10.0,2.0
tiantan_aq,2018-05-09 22:00:00,15.75,1012.689275,37.0,163.745,4.895,74.0,133.0,87.0,0.9,8.0,2.0
tiantan_aq,2018-05-09 23:00:00,17.25,1013.00075,34.75,161.73250000000002,4.555,86.0,147.0,121.0,1.1,5.0,2.0
guanyuan_aq,2018-05-09 18:00:00,18.0,1009.8298750000001,32.75,160.005,5.0025,62.0,145.0,88.0,0.7,50.0,14.0
guanyuan_aq,2018-05-09 19:00:00,18.0,1009.616925,34.0,148.1825,3.8125000000000004,65.0,166.0,76.0,0.7,54.0,19.0
guanyuan_aq,2018-05-09 20:00:00,18.0,1009.6548750000001,36.0,119.0575,3.0250000000000004,65.0,158.0,55.0,0.8,65.0,17.0
guanyuan_aq,2018-05-09 21:00:00,18.8,1009.6592,36.5,99.42750000000001,2.925,60.0,125.0,95.0,0.8,33.0,13.0
guanyuan_aq,2018-05-09 22:00:00,16.75,1009.74265,36.0,106.6925,3.1475,56.0,127.0,122.0,1.1,5.0,9.0
guanyuan_aq,2018-05-09 23:00:00,18.25,1009.922325,34.0,98.1,3.6175,56.0,154.0,118.0,1.2,8.0,9.0
wanshouxigong_aq,2018-05-09 18:00:00,17.5,1011.495725,33.5,191.935,7.7250000000000005,82.0,172.0,107.0,0.8,16.0,5.0
wanshouxigong_aq,2018-05-09 19:00:00,17.5,1011.3196250000001,35.25,187.8725,6.2725,86.0,156.0,102.0,0.9,14.0,5.0
wanshouxigong_aq,2018-05-09 20:00:00,17.5,1011.250675,37.0,175.07,4.62,87.0,163.0,95.0,0.9,17.0,3.0
wanshouxigong_aq,2018-05-09 21:00:00,17.9,1011.276425,38.0,161.3825,3.565,83.0,161.0,88.0,0.9,16.0,2.0
wanshouxigong_aq,2018-05-09 22:00:00,15.5,1011.253025,36.5,162.285,3.6225,95.0,193.0,89.0,1.0,14.0,3.0
wanshouxigong_aq,2018-05-09 23:00:00,17.5,1011.712625,34.5,151.88,3.7024999999999997,91.0,127.0,109.0,1.2,9.0,6.0
aotizhongxin_aq,2018-05-09 18:00:00,18.0,1009.8298750000001,32.75,160.005,5.0025,75.0,118.0,83.0,0.5,65.0,16.0
aotizhongxin_aq,2018-05-09 19:00:00,18.0,1009.616925,34.0,148.1825,3.8125000000000004,83.0,135.0,107.0,0.6,35.0,16.0
aotizhongxin_aq,2018-05-09 20:00:00,18.0,1009.6548750000001,36.0,119.0575,3.0250000000000004,83.0,142.0,134.0,0.6,3.0,9.0
aotizhongxin_aq,2018-05-09 21:00:00,18.8,1009.6592,36.5,99.42750000000001,2.925,69.0,126.0,137.0,0.7,2.0,6.0
aotizhongxin_aq,2018-05-09 22:00:00,16.75,1009.74265,36.0,106.6925,3.1475,78.0,128.0,137.0,1.0,2.0,5.0
aotizhongxin_aq,2018-05-09 23:00:00,18.25,1009.922325,34.0,98.1,3.6175,86.0,124.0,115.0,1.2,2.0,6.0
nongzhanguan_aq,2018-05-09 18:00:00,18.0,1012.409,32.0,155.37,6.362500000000001,75.0,118.0,88.0,1.0,53.0,11.0
