id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2989458,dongsi_aq,2018-05-07 19:00:00,22.0,40.0,35.0,0.4,41.0,5.0
2989459,tiantan_aq,2018-05-07 19:00:00,21.0,54.0,53.0,0.5,14.0,2.0
2989460,guanyuan_aq,2018-05-07 19:00:00,22.0,49.0,36.0,0.5,62.0,4.0
2989461,wanshouxigong_aq,2018-05-07 19:00:00,19.0,81.0,49.0,0.5,31.0,2.0
2989462,aotizhongxin_aq,2018-05-07 19:00:00,19.0,55.0,61.0,0.4,39.0,6.0
2989463,nongzhanguan_aq,2018-05-07 19:00:00,18.0,71.0,45.0,0.6,52.0,6.0
2989464,wanliu_aq,2018-05-07 19:00:00,18.0,61.0,48.0,0.5,61.0,8.0
2989465,beibuxinqu_aq,2018-05-07 19:00:00,20.0,62.0,36.0,0.4,57.0,3.0
2989466,zhiwuyuan_aq,2018-05-07 19:00:00,,,,,,
2989467,fengtaihuayuan_aq,2018-05-07 19:00:00,27.0,62.0,58.0,0.5,53.0,4.0
2989468,yungang_aq,2018-05-07 19:00:00,20.0,52.0,52.0,0.4,40.0,2.0
2989469,gucheng_aq,2018-05-07 19:00:00,16.0,43.0,51.0,0.3,35.0,3.0
2989470,fangshan_aq,2018-05-07 19:00:00,24.0,83.0,100.0,0.3,2.0,3.0
2989471,daxing_aq,2018-05-07 19:00:00,19.0,77.0,92.0,0.6,17.0,3.0
2989472,yizhuang_aq,2018-05-07 19:00:00,11.0,36.0,28.0,0.6,71.0,2.0
2989473,tongzhou_aq,2018-05-07 19:00:00,26.0,86.0,63.0,0.5,25.0,4.0
2989474,shunyi_aq,2018-05-07 19:00:00,26.0,88.0,78.0,0.8,3.0,5.0
2989475,pingchang_aq,2018-05-07 19:00:00,20.0,62.0,38.0,0.4,40.0,3.0
2989476,mentougou_aq,2018-05-07 19:00:00,22.0,80.0,80.0,0.4,24.0,4.0
2989477,pinggu_aq,2018-05-07 19:00:00,20.0,40.0,32.0,0.4,39.0,2.0
2989478,huairou_aq,2018-05-07 19:00:00,25.0,84.0,25.0,0.5,27.0,2.0
2989479,miyun_aq,2018-05-07 19:00:00,28.0,81.0,70.0,0.6,11.0,2.0
2989480,yanqin_aq,2018-05-07 19:00:00,29.0,77.0,35.0,0.4,53.0,3.0
2989481,dingling_aq,2018-05-07 19:00:00,,46.0,24.0,0.3,38.0,2.0
2989482,badaling_aq,2018-05-07 19:00:00,28.0,74.0,80.0,0.3,18.0,4.0
2989483,miyunshuiku_aq,2018-05-07 19:00:00,24.0,70.0,30.0,0.5,43.0,2.0
2989484,donggaocun_aq,2018-05-07 19:00:00,22.0,39.0,17.0,0.4,65.0,2.0
2989485,yongledian_aq,2018-05-07 19:00:00,30.0,61.0,66.0,0.4,2.0,2.0
2989486,yufa_aq,2018-05-07 19:00:00,27.0,138.0,74.0,0.4,2.0,2.0
2989487,liulihe_aq,2018-05-07 19:00:00,,,61.0,0.4,4.0,2.0
