id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2989606,CD1,2018-05-07 21:00:00,,35.4,93.4,,,
2989607,BL0,2018-05-07 21:00:00,,36.9,87.0,,,
2989608,GR4,2018-05-07 21:00:00,32.6,43.3,64.5,,,
2989609,MY7,2018-05-07 21:00:00,,,,,,
2989610,HV1,2018-05-07 21:00:00,32.0,35.1,111.3,,,
2989611,GN3,2018-05-07 21:00:00,39.4,46.4,83.6,,,
2989612,GR9,2018-05-07 21:00:00,43.5,53.8,131.3,,,
2989613,LW2,2018-05-07 21:00:00,40.4,51.8,77.0,,,
2989614,GN0,2018-05-07 21:00:00,,39.0,93.5,,,
2989615,KF1,2018-05-07 21:00:00,,,,,,
2989616,CD9,2018-05-07 21:00:00,,,139.8,,,
2989617,CT3,2018-05-07 21:00:00,14.0,34.6,,,,
2989618,CT2,2018-05-07 21:00:00,30.0,,,,,
2989619,BX9,2018-05-07 21:00:00,39.9,,,,,
2989620,BX1,2018-05-07 21:00:00,,36.8,84.4,,,
2989621,TH4,2018-05-07 21:00:00,34.2,44.1,66.8,,,
2989622,ST5,2018-05-07 21:00:00,,,,,,
2989623,RB7,2018-05-07 21:00:00,36.0,,66.9,,,
2989624,TD5,2018-05-07 21:00:00,26.7,,,,,
2989662,CD1,2018-05-07 22:00:00,,37.6,102.2,,,
2989663,BL0,2018-05-07 22:00:00,,,,,,
2989664,GR4,2018-05-07 22:00:00,37.8,47.7,68.3,,,
2989665,MY7,2018-05-07 22:00:00,,,,,,
2989666,HV1,2018-05-07 22:00:00,45.1,46.3,106.5,,,
2989667,GN3,2018-05-07 22:00:00,43.3,49.0,83.6,,,
2989668,GR9,2018-05-07 22:00:00,45.8,54.9,115.6,,,
2989669,LW2,2018-05-07 22:00:00,47.3,49.8,87.9,,,
2989670,GN0,2018-05-07 22:00:00,,45.8,103.5,,,
2989671,KF1,2018-05-07 22:00:00,,,,,,
2989672,CD9,2018-05-07 22:00:00,,52.5,133.3,,,
2989673,CT3,2018-05-07 22:00:00,27.0,47.0,,,,
2989674,CT2,2018-05-07 22:00:00,40.0,,,,,
2989675,BX9,2018-05-07 22:00:00,47.8,,,,,
2989676,BX1,2018-05-07 22:00:00,,40.5,77.7,,,
2989677,TH4,2018-05-07 22:00:00,46.5,55.3,90.2,,,
2989678,ST5,2018-05-07 22:00:00,,,,,,
2989679,RB7,2018-05-07 22:00:00,44.0,,62.9,,,
2989680,TD5,2018-05-07 22:00:00,26.7,,,,,
2989718,CD1,2018-05-07 23:00:00,,44.2,104.2,,,
2989719,BL0,2018-05-07 23:00:00,,46.6,110.5,,,
2989720,GR4,2018-05-07 23:00:00,38.5,51.1,61.8,,,
2989721,MY7,2018-05-07 23:00:00,,,,,,
2989722,HV1,2018-05-07 23:00:00,53.8,55.7,64.9,,,
2989723,GN3,2018-05-07 23:00:00,47.2,53.3,84.7,,,
2989724,GR9,2018-05-07 23:00:00,46.6,56.1,101.3,,,
2989725,LW2,2018-05-07 23:00:00,45.5,51.5,92.9,,,
2989726,GN0,2018-05-07 23:00:00,,46.6,96.7,,,
2989727,KF1,2018-05-07 23:00:00,,,,,,
2989728,CD9,2018-05-07 23:00:00,,,143.7,,,
2989729,CT3,2018-05-07 23:00:00,26.0,46.2,,,,
2989730,CT2,2018-05-07 23:00:00,42.0,,,,,
2989731,BX9,2018-05-07 23:00:00,49.6,,,,,
2989732,BX1,2018-05-07 23:00:00,,40.2,80.5,,,
2989733,TH4,2018-05-07 23:00:00,52.7,58.9,103.6,,,
2989734,ST5,2018-05-07 23:00:00,,,62.9,,,
2989735,RB7,2018-05-07 23:00:00,51.0,,56.0,,,
2989736,TD5,2018-05-07 23:00:00,,,,,,
2989774,CD1,2018-05-08 00:00:00,,45.6,99.1,,,
2989775,BL0,2018-05-08 00:00:00,,,,,,
2989776,GR4,2018-05-08 00:00:00,45.9,48.6,63.8,,,
2989777,MY7,2018-05-08 00:00:00,,,,,,
2989778,HV1,2018-05-08 00:00:00,54.9,55.8,61.6,,,
2989779,GN3,2018-05-08 00:00:00,48.2,56.0,82.1,,,
2989780,GR9,2018-05-08 00:00:00,49.7,57.0,96.9,,,
2989781,LW2,2018-05-08 00:00:00,39.3,50.0,86.5,,,
2989782,GN0,2018-05-08 00:00:00,,50.1,88.4,,,
2989783,KF1,2018-05-08 00:00:00,30.0,39.1,,,,
2989784,CD9,2018-05-08 00:00:00,,57.6,127.6,,,
2989785,CT3,2018-05-08 00:00:00,31.0,48.8,,,,
2989786,CT2,2018-05-08 00:00:00,50.0,,,,,
2989787,BX9,2018-05-08 00:00:00,48.8,,,,,
2989788,BX1,2018-05-08 00:00:00,,41.3,74.2,,,
2989789,TH4,2018-05-08 00:00:00,55.6,63.5,93.5,,,
2989790,ST5,2018-05-08 00:00:00,31.0,39.0,62.2,,,
