id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
3365449,london_grid_000,2018-05-07 21:00:00,CLEAR_NIGHT,14.15,1014.9866,77.0,335.42,3.03
3365450,london_grid_001,2018-05-07 21:00:00,CLEAR_NIGHT,13.79,1013.9754,79.0,311.26,2.84
3365451,london_grid_002,2018-05-07 21:00:00,CLEAR_NIGHT,13.43,1012.9642,80.0,288.29,3.18
3365452,london_grid_003,2018-05-07 21:00:00,CLEAR_NIGHT,13.35,1010.321,82.0,270.05,3.69
3365453,london_grid_004,2018-05-07 21:00:00,CLEAR_NIGHT,13.55,1006.0458,85.0,255.14,4.31
3365454,london_grid_005,2018-05-07 21:00:00,CLEAR_NIGHT,13.75,1001.7705,88.0,244.5,5.14
3365455,london_grid_006,2018-05-07 21:00:00,CLEAR_NIGHT,14.4,1001.0794,90.0,241.79,6.09
3365456,london_grid_007,2018-05-07 21:00:00,CLEAR_NIGHT,15.05,1000.3882,92.0,239.81,7.04
3365457,london_grid_008,2018-05-07 21:00:00,CLEAR_NIGHT,15.6,1000.6634,93.0,240.42,7.72
3365458,london_grid_009,2018-05-07 21:00:00,CLEAR_NIGHT,16.05,1001.905,93.0,243.02,8.15
3365459,london_grid_010,2018-05-07 21:00:00,CLEAR_NIGHT,16.5,1003.1466,93.0,245.36,8.59
3365460,london_grid_011,2018-05-07 21:00:00,CLEAR_NIGHT,16.44,1001.1242,92.0,244.52,7.76
3365461,london_grid_012,2018-05-07 21:00:00,CLEAR_NIGHT,16.39,999.1018,91.0,243.48,6.93
3365462,london_grid_013,2018-05-07 21:00:00,CLEAR_NIGHT,16.31,998.689,90.0,238.08,5.7
3365463,london_grid_014,2018-05-07 21:00:00,CLEAR_NIGHT,16.2,999.8858,89.0,223.31,4.26
3365464,london_grid_015,2018-05-07 21:00:00,CLEAR_NIGHT,16.09,1001.0826,88.0,197.54,3.34
3365465,london_grid_016,2018-05-07 21:00:00,CLEAR_NIGHT,16.35,1002.1322,87.0,180.64,3.82
3365466,london_grid_017,2018-05-07 21:00:00,CLEAR_NIGHT,16.61,1003.1818,87.0,168.3,4.55
3365467,london_grid_018,2018-05-07 21:00:00,CLEAR_NIGHT,17.3,1002.401,84.0,165.55,5.25
3365468,london_grid_019,2018-05-07 21:00:00,RAIN,18.44,999.7898,80.0,168.89,5.83
3365469,london_grid_020,2018-05-07 21:00:00,RAIN,19.58,997.1786,75.0,171.61,6.42
3365470,london_grid_021,2018-05-07 21:00:00,CLEAR_NIGHT,14.19,1015.0954,78.0,339.81,2.69
3365471,london_grid_022,2018-05-07 21:00:00,CLEAR_NIGHT,13.85,1014.2122,79.0,313.39,2.47
3365472,london_grid_023,2018-05-07 21:00:00,CLEAR_NIGHT,13.52,1013.329,80.0,288.1,2.8
3365473,london_grid_024,2018-05-07 21:00:00,CLEAR_NIGHT,13.45,1011.0711,82.0,268.33,3.36
3365474,london_grid_025,2018-05-07 21:00:00,CLEAR_NIGHT,13.65,1007.4384,85.0,252.71,4.06
3365475,london_grid_026,2018-05-07 21:00:00,CLEAR_NIGHT,13.85,1003.8058,88.0,242.24,4.97
3365476,london_grid_027,2018-05-07 21:00:00,CLEAR_NIGHT,14.44,1002.1904,90.0,238.95,6.04
3365477,london_grid_028,2018-05-07 21:00:00,CLEAR_NIGHT,15.02,1000.575,92.0,236.66,7.13
3365478,london_grid_029,2018-05-07 21:00:00,CLEAR_NIGHT,15.52,1000.0374,93.0,236.83,7.87
3365479,london_grid_030,2018-05-07 21:00:00,CLEAR_NIGHT,15.93,1000.5776,93.0,238.82,8.27
3365480,london_grid_031,2018-05-07 21:00:00,CLEAR_NIGHT,16.34,1001.1178,93.0,240.62,8.68
3365481,london_grid_032,2018-05-07 21:00:00,CLEAR_NIGHT,16.32,1000.4112,92.0,238.58,7.59
3365482,london_grid_033,2018-05-07 21:00:00,CLEAR_NIGHT,16.29,999.7046,91.0,235.86,6.51
3365483,london_grid_034,2018-05-07 21:00:00,CLEAR_NIGHT,16.22,999.4122,89.0,226.96,5.15
3365484,london_grid_035,2018-05-07 21:00:00,CLEAR_NIGHT,16.09,999.5338,89.0,204.28,3.87
3365485,london_grid_036,2018-05-07 21:00:00,CLEAR_NIGHT,15.97,999.6554,88.0,170.76,3.59
3365486,london_grid_037,2018-05-07 21:00:00,CLEAR_NIGHT,16.27,1001.4013,87.0,159.51,4.42
3365487,london_grid_038,2018-05-07 21:00:00,CLEAR_NIGHT,16.56,1003.1472,87.0,151.99,5.36
3365488,london_grid_039,2018-05-07 21:00:00,CLEAR_NIGHT,17.21,1002.9565,84.0,151.97,6.01
3365489,london_grid_040,2018-05-07 21:00:00,CLEAR_NIGHT,18.22,1000.8291,80.0,157.16,6.37
3365490,london_grid_041,2018-05-07 21:00:00,RAIN,19.23,998.7018,76.0,161.76,6.77
3365491,london_grid_042,2018-05-07 21:00:00,CLEAR_NIGHT,14.23,1015.2042,78.0,345.41,2.37
3365492,london_grid_043,2018-05-07 21:00:00,CLEAR_NIGHT,13.91,1014.449,79.0,316.27,2.1
3365493,london_grid_044,2018-05-07 21:00:00,CLEAR_NIGHT,13.6,1013.6938,80.0,287.85,2.42
3365494,london_grid_045,2018-05-07 21:00:00,CLEAR_NIGHT,13.55,1011.8211,82.0,266.24,3.03
3365495,london_grid_046,2018-05-07 21:00:00,CLEAR_NIGHT,13.75,1008.8311,85.0,249.97,3.82
3365496,london_grid_047,2018-05-07 21:00:00,CLEAR_NIGHT,13.96,1005.841,87.0,239.81,4.81
3365497,london_grid_048,2018-05-07 21:00:00,CLEAR_NIGHT,14.48,1003.3014,89.0,236.08,6.01
3365498,london_grid_049,2018-05-07 21:00:00,CLEAR_NIGHT,14.99,1000.7619,91.0,233.6,7.24
3365499,london_grid_050,2018-05-07 21:00:00,CLEAR_NIGHT,15.44,999.4115,93.0,233.39,8.04
3365500,london_grid_051,2018-05-07 21:00:00,CLEAR_NIGHT,15.82,999.2502,93.0,234.76,8.44
3365501,london_grid_052,2018-05-07 21:00:00,CLEAR_NIGHT,16.19,999.0889,93.0,236.01,8.83
3365502,london_grid_053,2018-05-07 21:00:00,CLEAR_NIGHT,16.19,999.6982,92.0,232.44,7.51
3365503,london_grid_054,2018-05-07 21:00:00,CLEAR_NIGHT,16.19,1000.3075,90.0,227.37,6.23
3365504,london_grid_055,2018-05-07 21:00:00,CLEAR_NIGHT,16.12,1000.1354,89.0,213.79,4.83
3365505,london_grid_056,2018-05-07 21:00:00,CLEAR_NIGHT,15.99,999.1818,88.0,183.78,3.97
3365506,london_grid_057,2018-05-07 21:00:00,CLEAR_NIGHT,15.85,998.2281,88.0,151.05,4.46
3365507,london_grid_058,2018-05-07 21:00:00,CLEAR_NIGHT,16.19,1000.6704,87.0,144.88,5.45
3365508,london_grid_059,2018-05-07 21:00:00,CLEAR_NIGHT,16.52,1003.1126,87.0,140.63,6.48
3365509,london_grid_060,2018-05-07 21:00:00,CLEAR_NIGHT,17.12,1003.512,85.0,141.87,7.03
3365510,london_grid_061,2018-05-07 21:00:00,CLEAR_NIGHT,18.0,1001.8685,81.0,147.58,7.13
3365511,london_grid_062,2018-05-07 21:00:00,CLEAR_NIGHT,18.88,1000.225,77.0,153.09,7.29
3365512,london_grid_063,2018-05-07 21:00:00,CLEAR_NIGHT,14.25,1015.1562,78.0,354.91,2.02
3365513,london_grid_064,2018-05-07 21:00:00,CLEAR_NIGHT,13.95,1014.4317,79.0,322.0,1.64
3365514,london_grid_065,2018-05-07 21:00:00,CLEAR_NIGHT,13.65,1013.7072,80.0,287.39,1.93
3365515,london_grid_066,2018-05-07 21:00:00,CLEAR_NIGHT,13.62,1012.1296,82.0,262.7,2.59
3365516,london_grid_067,2018-05-07 21:00:00,CLEAR_NIGHT,13.86,1009.6989,84.0,245.92,3.5
3365517,london_grid_068,2018-05-07 21:00:00,CLEAR_NIGHT,14.09,1007.2682,86.0,236.51,4.57
