id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2990110,CD1,2018-05-08 06:00:00,,92.7,123.8,,,
2990111,BL0,2018-05-08 06:00:00,68.2,80.8,,,,
2990112,GR4,2018-05-08 06:00:00,31.7,44.8,54.6,,,
2990113,MY7,2018-05-08 06:00:00,,,,,,
2990114,HV1,2018-05-08 06:00:00,71.9,77.8,52.3,,,
2990115,GN3,2018-05-08 06:00:00,51.5,62.2,57.2,,,
2990116,GR9,2018-05-08 06:00:00,47.4,55.2,69.8,,,
2990117,LW2,2018-05-08 06:00:00,59.6,73.4,81.8,,,
2990118,GN0,2018-05-08 06:00:00,,51.6,84.3,,,
2990119,KF1,2018-05-08 06:00:00,,,,,,
2990120,CD9,2018-05-08 06:00:00,100.7,100.8,158.7,,,
2990121,CT3,2018-05-08 06:00:00,67.0,78.8,92.0,,,
2990122,CT2,2018-05-08 06:00:00,79.0,,,,,
2990123,BX9,2018-05-08 06:00:00,39.4,,,,,
2990124,BX1,2018-05-08 06:00:00,,56.8,51.8,,,
2990125,TH4,2018-05-08 06:00:00,87.5,119.7,93.4,,,
2990126,ST5,2018-05-08 06:00:00,42.0,145.0,57.2,,,
2990127,RB7,2018-05-08 06:00:00,70.0,,50.8,,,
2990128,TD5,2018-05-08 06:00:00,36.6,,,,,
2990166,CD1,2018-05-08 07:00:00,1.4,72.4,130.2,,,
2990167,BL0,2018-05-08 07:00:00,,66.2,116.3,,,
2990168,GR4,2018-05-08 07:00:00,28.6,40.5,59.6,,,
2990169,MY7,2018-05-08 07:00:00,,,,,,
2990170,HV1,2018-05-08 07:00:00,66.9,75.1,63.0,,,
2990171,GN3,2018-05-08 07:00:00,50.3,59.5,65.5,,,
2990172,GR9,2018-05-08 07:00:00,40.5,52.4,89.6,,,
2990173,LW2,2018-05-08 07:00:00,47.6,54.0,92.1,,,
2990174,GN0,2018-05-08 07:00:00,54.7,65.5,94.0,,,
2990175,KF1,2018-05-08 07:00:00,,,,,,
2990176,CD9,2018-05-08 07:00:00,,,173.1,,,
2990177,CT3,2018-05-08 07:00:00,57.0,,,,,
2990178,CT2,2018-05-08 07:00:00,66.0,,,,,
2990179,BX9,2018-05-08 07:00:00,40.7,,,,,
2990180,BX1,2018-05-08 07:00:00,,,67.2,,,
2990181,TH4,2018-05-08 07:00:00,,,,,,
2990182,ST5,2018-05-08 07:00:00,33.0,,68.2,,,
2990183,RB7,2018-05-08 07:00:00,52.0,,59.0,,,
2990184,TD5,2018-05-08 07:00:00,39.5,,,,,
2990932,CD1,2018-05-08 08:00:00,,51.5,121.0,,,
2990933,BL0,2018-05-08 08:00:00,,49.9,109.0,,,
2990934,GR4,2018-05-08 08:00:00,21.4,29.8,35.3,,,
2990935,MY7,2018-05-08 08:00:00,,,,,,
2990936,HV1,2018-05-08 08:00:00,50.0,63.3,92.2,,,
2990937,GN3,2018-05-08 08:00:00,41.4,54.0,75.1,,,
2990938,GR9,2018-05-08 08:00:00,31.9,42.9,71.9,,,
2990939,LW2,2018-05-08 08:00:00,35.9,45.4,86.6,,,
2990940,GN0,2018-05-08 08:00:00,,51.2,104.6,,,
