id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
3379246,london_grid_000,2018-05-08 06:00:00,CLEAR_DAY,13.72,1011.4954,76.0,259.57,7.09
3379247,london_grid_001,2018-05-08 06:00:00,CLEAR_DAY,13.6,1010.4586,77.0,262.55,6.12
3379248,london_grid_002,2018-05-08 06:00:00,CLEAR_DAY,13.48,1009.4218,79.0,266.63,5.17
3379249,london_grid_003,2018-05-08 06:00:00,CLEAR_DAY,13.2,1006.7626,81.0,269.98,4.79
3379250,london_grid_004,2018-05-08 06:00:00,CLEAR_DAY,12.76,1002.481,84.0,271.32,4.95
3379251,london_grid_005,2018-05-08 06:00:00,CLEAR_DAY,12.32,998.1994,87.0,272.57,5.11
3379252,london_grid_006,2018-05-08 06:00:00,CLEAR_DAY,12.16,997.5274,89.0,262.48,5.84
3379253,london_grid_007,2018-05-08 06:00:00,CLEAR_DAY,12.0,996.8554,90.0,254.83,6.72
3379254,london_grid_008,2018-05-08 06:00:00,CLEAR_DAY,11.96,997.1658,91.0,247.7,7.54
3379255,london_grid_009,2018-05-08 06:00:00,CLEAR_DAY,12.04,998.4586,92.0,240.74,8.33
3379256,london_grid_010,2018-05-08 06:00:00,CLEAR_DAY,12.12,999.7514,93.0,235.04,9.21
3379257,london_grid_011,2018-05-08 06:00:00,CLEAR_DAY,12.08,997.7034,94.0,229.63,9.68
3379258,london_grid_012,2018-05-08 06:00:00,CLEAR_DAY,12.04,995.6554,95.0,224.76,10.23
3379259,london_grid_013,2018-05-08 06:00:00,CLEAR_DAY,12.12,995.2106,95.0,220.97,10.48
3379260,london_grid_014,2018-05-08 06:00:00,CLEAR_DAY,12.32,996.369,95.0,217.85,10.41
3379261,london_grid_015,2018-05-08 06:00:00,CLEAR_DAY,12.52,997.5273,96.0,214.68,10.36
3379262,london_grid_016,2018-05-08 06:00:00,CLEAR_DAY,12.88,998.5258,95.0,217.16,9.95
3379263,london_grid_017,2018-05-08 06:00:00,CLEAR_DAY,13.24,999.5242,94.0,219.85,9.56
3379264,london_grid_018,2018-05-08 06:00:00,CLEAR_DAY,13.64,998.6826,92.0,223.77,9.14
3379265,london_grid_019,2018-05-08 06:00:00,CLEAR_DAY,14.08,996.001,89.0,229.13,8.72
3379266,london_grid_020,2018-05-08 06:00:00,CLEAR_DAY,14.52,993.3194,86.0,234.98,8.38
3379267,london_grid_021,2018-05-08 06:00:00,CLEAR_DAY,13.72,1011.5978,76.0,257.09,6.39
3379268,london_grid_022,2018-05-08 06:00:00,CLEAR_DAY,13.65,1010.6915,77.0,258.94,5.55
3379269,london_grid_023,2018-05-08 06:00:00,CLEAR_DAY,13.58,1009.7853,78.0,261.45,4.72
3379270,london_grid_024,2018-05-08 06:00:00,CLEAR_DAY,13.35,1007.5101,80.0,263.84,4.39
3379271,london_grid_025,2018-05-08 06:00:00,CLEAR_DAY,12.98,1003.8659,83.0,265.31,4.56
3379272,london_grid_026,2018-05-08 06:00:00,CLEAR_DAY,12.6,1000.2218,86.0,266.67,4.74
3379273,london_grid_027,2018-05-08 06:00:00,CLEAR_DAY,12.36,998.6256,88.0,257.51,5.52
3379274,london_grid_028,2018-05-08 06:00:00,CLEAR_DAY,12.12,997.0295,89.0,250.76,6.41
3379275,london_grid_029,2018-05-08 06:00:00,CLEAR_DAY,12.03,996.5232,91.0,244.51,7.27
3379276,london_grid_030,2018-05-08 06:00:00,CLEAR_DAY,12.07,997.1069,92.0,238.47,8.11
3379277,london_grid_031,2018-05-08 06:00:00,CLEAR_DAY,12.12,997.6906,93.0,233.62,9.02
