id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2991008,dongsi_aq,2018-05-08 10:00:00,39.0,88.0,20.0,0.4,170.0,3.0
2991009,tiantan_aq,2018-05-08 10:00:00,24.0,74.0,14.0,0.5,148.0,4.0
2991010,guanyuan_aq,2018-05-08 10:00:00,33.0,83.0,20.0,0.4,164.0,3.0
2991011,wanshouxigong_aq,2018-05-08 10:00:00,37.0,104.0,20.0,0.5,156.0,3.0
2991012,aotizhongxin_aq,2018-05-08 10:00:00,39.0,78.0,19.0,0.3,175.0,4.0
2991013,nongzhanguan_aq,2018-05-08 10:00:00,33.0,113.0,22.0,0.5,159.0,5.0
2991014,wanliu_aq,2018-05-08 10:00:00,26.0,102.0,26.0,0.5,162.0,4.0
2991015,beibuxinqu_aq,2018-05-08 10:00:00,22.0,,,0.4,148.0,4.0
2991016,zhiwuyuan_aq,2018-05-08 10:00:00,,,,,,
2991017,fengtaihuayuan_aq,2018-05-08 10:00:00,32.0,87.0,18.0,0.5,166.0,3.0
2991018,yungang_aq,2018-05-08 10:00:00,7.0,69.0,16.0,0.4,183.0,3.0
2991019,gucheng_aq,2018-05-08 10:00:00,34.0,72.0,20.0,0.5,158.0,3.0
2991020,fangshan_aq,2018-05-08 10:00:00,21.0,110.0,17.0,0.4,190.0,4.0
2991021,daxing_aq,2018-05-08 10:00:00,25.0,97.0,19.0,0.6,165.0,4.0
2991022,yizhuang_aq,2018-05-08 10:00:00,43.0,76.0,24.0,0.6,183.0,7.0
2991023,tongzhou_aq,2018-05-08 10:00:00,41.0,117.0,18.0,0.5,194.0,6.0
2991024,shunyi_aq,2018-05-08 10:00:00,32.0,106.0,26.0,0.6,183.0,8.0
2991025,pingchang_aq,2018-05-08 10:00:00,24.0,140.0,15.0,0.4,162.0,2.0
2991026,mentougou_aq,2018-05-08 10:00:00,30.0,98.0,29.0,0.4,170.0,6.0
2991027,pinggu_aq,2018-05-08 10:00:00,38.0,92.0,17.0,0.8,185.0,
2991028,huairou_aq,2018-05-08 10:00:00,28.0,118.0,22.0,0.5,152.0,3.0
2991029,miyun_aq,2018-05-08 10:00:00,37.0,101.0,44.0,0.7,165.0,8.0
2991030,yanqin_aq,2018-05-08 10:00:00,37.0,107.0,25.0,0.4,160.0,3.0
2991031,dingling_aq,2018-05-08 10:00:00,19.0,46.0,18.0,0.5,165.0,8.0
2991032,badaling_aq,2018-05-08 10:00:00,53.0,148.0,22.0,0.4,153.0,3.0
2991033,miyunshuiku_aq,2018-05-08 10:00:00,36.0,106.0,15.0,0.6,189.0,7.0
2991034,donggaocun_aq,2018-05-08 10:00:00,34.0,68.0,15.0,0.6,170.0,12.0
2991035,yongledian_aq,2018-05-08 10:00:00,45.0,129.0,46.0,0.9,134.0,12.0
2991036,yufa_aq,2018-05-08 10:00:00,26.0,93.0,13.0,0.5,164.0,5.0
2991037,liulihe_aq,2018-05-08 10:00:00,36.0,107.0,13.0,0.4,179.0,
2991038,qianmen_aq,2018-05-08 10:00:00,35.0,96.0,33.0,0.5,158.0,5.0
2991039,yongdingmennei_aq,2018-05-08 10:00:00,34.0,96.0,35.0,0.6,144.0,6.0
2991040,xizhimenbei_aq,2018-05-08 10:00:00,31.0,81.0,61.0,0.6,120.0,6.0
2991041,nansanhuan_aq,2018-05-08 10:00:00,34.0,103.0,79.0,0.7,114.0,4.0
2991042,dongsihuan_aq,2018-05-08 10:00:00,30.0,101.0,46.0,0.6,147.0,6.0
2991064,dongsi_aq,2018-05-08 11:00:00,40.0,78.0,23.0,0.4,162.0,3.0
2991065,tiantan_aq,2018-05-08 11:00:00,28.0,72.0,19.0,0.5,137.0,4.0
2991066,guanyuan_aq,2018-05-08 11:00:00,31.0,88.0,23.0,0.4,164.0,3.0
2991067,wanshouxigong_aq,2018-05-08 11:00:00,36.0,80.0,23.0,0.6,152.0,4.0
2991068,aotizhongxin_aq,2018-05-08 11:00:00,34.0,76.0,23.0,0.3,164.0,4.0
2991069,nongzhanguan_aq,2018-05-08 11:00:00,34.0,97.0,26.0,0.5,155.0,5.0
2991070,wanliu_aq,2018-05-08 11:00:00,31.0,85.0,33.0,0.6,156.0,4.0
2991071,beibuxinqu_aq,2018-05-08 11:00:00,23.0,,,0.4,145.0,4.0
2991072,zhiwuyuan_aq,2018-05-08 11:00:00,,,,,,
2991073,fengtaihuayuan_aq,2018-05-08 11:00:00,45.0,102.0,29.0,0.5,159.0,3.0
2991074,yungang_aq,2018-05-08 11:00:00,3.0,73.0,21.0,0.5,175.0,4.0
2991075,gucheng_aq,2018-05-08 11:00:00,34.0,81.0,25.0,0.5,155.0,4.0
2991076,fangshan_aq,2018-05-08 11:00:00,28.0,120.0,22.0,0.5,183.0,4.0
2991077,daxing_aq,2018-05-08 11:00:00,27.0,92.0,20.0,0.6,161.0,5.0
2991078,yizhuang_aq,2018-05-08 11:00:00,39.0,88.0,28.0,0.6,173.0,6.0
2991079,tongzhou_aq,2018-05-08 11:00:00,,127.0,34.0,0.7,143.0,8.0
2991080,shunyi_aq,2018-05-08 11:00:00,33.0,110.0,38.0,0.7,173.0,10.0
2991081,pingchang_aq,2018-05-08 11:00:00,22.0,96.0,20.0,0.4,153.0,3.0
2991082,mentougou_aq,2018-05-08 11:00:00,34.0,94.0,42.0,0.5,157.0,8.0
2991083,pinggu_aq,2018-05-08 11:00:00,40.0,116.0,21.0,0.8,176.0,
2991084,huairou_aq,2018-05-08 11:00:00,28.0,122.0,28.0,0.6,147.0,4.0
2991085,miyun_aq,2018-05-08 11:00:00,43.0,98.0,33.0,0.8,175.0,9.0
2991086,yanqin_aq,2018-05-08 11:00:00,34.0,103.0,26.0,0.4,155.0,3.0
2991087,dingling_aq,2018-05-08 11:00:00,12.0,60.0,19.0,0.5,150.0,8.0
2991088,badaling_aq,2018-05-08 11:00:00,41.0,150.0,33.0,0.4,140.0,3.0
2991089,miyunshuiku_aq,2018-05-08 11:00:00,40.0,81.0,14.0,0.6,187.0,8.0
