id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
3389325,beijing_grid_000,2018-05-08 13:00:00,CLEAR_NIGHT,16.0,980.1503,39.0,208.82,3.59
3389326,beijing_grid_001,2018-05-08 13:00:00,CLEAR_NIGHT,16.0,966.7154,41.0,208.56,3.63
3389327,beijing_grid_002,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,16.0,953.2805,42.0,208.31,3.68
3389328,beijing_grid_003,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,16.0,937.9504,44.0,201.45,3.8
3389329,beijing_grid_004,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,16.0,920.7249,47.0,189.35,4.14
3389330,beijing_grid_005,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,16.0,903.4995,50.0,179.45,4.63
3389331,beijing_grid_006,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,16.0,885.1487,54.0,172.99,5.75
3389332,beijing_grid_007,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,866.7978,59.0,168.67,6.92
3389333,beijing_grid_008,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,20.3,859.2397,60.0,164.82,8.22
3389334,beijing_grid_009,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,20.3,862.4742,57.0,161.4,9.66
3389335,beijing_grid_010,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,865.7088,53.0,158.86,11.12
3389336,beijing_grid_011,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,876.489,48.0,151.73,11.95
3389337,beijing_grid_012,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,887.2693,43.0,145.61,12.95
3389338,beijing_grid_013,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,897.9226,39.0,135.96,13.87
3389339,beijing_grid_014,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,908.4489,36.0,123.52,15.17
3389340,beijing_grid_015,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,918.9752,32.0,113.43,17.05
3389341,beijing_grid_016,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,918.7279,30.0,110.4,17.83
3389342,beijing_grid_017,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,19.0,918.4807,28.0,107.64,18.65
3389343,beijing_grid_018,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,18.0,909.8851,29.0,108.4,17.49
3389344,beijing_grid_019,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,18.0,892.941,32.0,113.84,14.41
3389345,beijing_grid_020,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,18.0,875.9969,35.0,122.12,11.52
3389346,beijing_grid_021,2018-05-08 13:00:00,CLEAR_NIGHT,16.0,989.0443,38.0,193.42,4.06
3389347,beijing_grid_022,2018-05-08 13:00:00,CLEAR_NIGHT,16.0,978.8253,39.0,196.37,3.77
3389348,beijing_grid_023,2018-05-08 13:00:00,PARTLY_CLOUDY_NIGHT,21.0,968.6064,40.0,199.79,3.5
