test_id,PM2.5,PM10,O3
yongdingmennei_aq#0,32.60415242984891,94.79748463630676,-2.5554929226636887
yongdingmennei_aq#1,31.034749940037724,96.46100735664368,-8.262134552001953
yongdingmennei_aq#2,29.873553276062008,96.73111534118652,-11.09924656152725
yongdingmennei_aq#3,27.48104965686798,98.9744827747345,-12.917688608169554
yongdingmennei_aq#4,25.15268681757152,104.40612411499023,-13.922781348228453
yongdingmennei_aq#5,22.694542068988085,111.67597508430481,-15.46742933988571
yongdingmennei_aq#6,20.1762742549181,119.14005613327026,-18.20081096887588
yongdingmennei_aq#7,17.541930744424462,125.69938516616821,-21.997013419866562
yongdingmennei_aq#8,14.596842869184913,130.90976810455322,-26.27314680814743
yongdingmennei_aq#9,11.285453224554658,134.76673221588135,-30.655280083417892
yongdingmennei_aq#10,7.683201363310217,137.45164012908936,-35.087735682725906
yongdingmennei_aq#11,4.031478246673942,139.68733882904053,-39.52724865078926
yongdingmennei_aq#12,0.4311748258769513,141.7969832420349,-43.52677598595619
yongdingmennei_aq#13,-3.2943037264049053,143.73307561874392,-46.43057465553284
yongdingmennei_aq#14,-7.445764057338238,144.79800319671634,-47.813281416893005
yongdingmennei_aq#15,-12.003792248666286,144.65055322647098,-47.47371646761894
yongdingmennei_aq#16,-16.67481656000018,143.2888231277466,-45.711325258016586
yongdingmennei_aq#17,-21.121301990002394,141.16364097595215,-43.149908512830734
yongdingmennei_aq#18,-25.161951273679733,138.76750802993774,-40.389656126499176
yongdingmennei_aq#19,-28.805132132023573,136.2175498008728,-37.73961415886879
yongdingmennei_aq#20,-32.146108366549015,133.34440326690674,-35.372668236494064
yongdingmennei_aq#21,-35.22249612212181,129.8718605041504,-33.15852579474449
yongdingmennei_aq#22,-37.87567791342735,126.05715370178223,-31.049173831939697
yongdingmennei_aq#23,-39.370207257568836,123.31209754943848,-29.35457417368889
yongdingmennei_aq#24,-39.2987275198102,122.97922945022583,-28.099402725696564
yongdingmennei_aq#25,-38.122601203620434,122.1406421661377,-28.00704476237297
yongdingmennei_aq#26,-32.626327611505985,121.77130794525146,-23.980372935533524
yongdingmennei_aq#27,-31.816360414028168,123.83340454101562,-21.875963121652603
yongdingmennei_aq#28,-30.89513911306858,128.57737159729004,-19.16893962025642
yongdingmennei_aq#29,-30.364763889461756,134.36103200912476,-16.31992763280868
yongdingmennei_aq#30,-30.026688493788242,140.09642696380615,-13.783868640661238
yongdingmennei_aq#31,-29.547194249927998,144.036904335022,-12.101139098405836
yongdingmennei_aq#32,-28.95598942041397,144.633029460907,-12.011871844530104
yongdingmennei_aq#33,-28.601846523582935,145.52110052108767,-13.081182658672331
yongdingmennei_aq#34,-27.913874186575413,145.25418853759768,-15.509121567010878
yongdingmennei_aq#35,-27.237112514674664,144.8359379768372,-19.374404609203335
yongdingmennei_aq#36,-26.764143280684948,144.85154247283938,-23.76209717988968
yongdingmennei_aq#37,-26.744514547288418,144.72513771057132,-27.460093706846237
yongdingmennei_aq#38,-27.35236755013466,143.3681974411011,-29.42329642176628
yongdingmennei_aq#39,-28.41419542953372,140.7809386253357,-29.887047171592712
yongdingmennei_aq#40,-29.4427638836205,137.92708492279053,-29.863167583942413
yongdingmennei_aq#41,-30.108405515551567,136.03034591674805,-30.399169266223907
yongdingmennei_aq#42,-30.603195268660784,135.4016432762146,-31.33253863453865
yongdingmennei_aq#43,-31.34871456772089,135.0776538848877,-32.217352509498596
yongdingmennei_aq#44,-32.50133876502514,134.41532230377197,-32.693809509277344
yongdingmennei_aq#45,-33.92818791419268,133.25418090820312,-33.017159432172775
yongdingmennei_aq#46,-35.47180251777172,131.84176540374756,-33.174337685108185
yongdingmennei_aq#47,-36.62792417407036,131.0671648979187,-32.903494983911514
